!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 20:28:10 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+5.25060000000e+001, +2.85602528133e-001, +4.27713851522e+000, +6.45654959222e-005, +2.84807116886e-001
+5.28340000000e+001, +2.87943272202e-001, +4.12325882944e+000, +6.23672530475e-005, +2.87197981965e-001
+5.31640000000e+001, +2.84435837765e-001, +3.82257148028e+000, +5.67672102434e-005, +2.83803048375e-001
+5.34960000000e+001, +2.91769129120e-001, +4.50023082134e+000, +6.81088722220e-005, +2.90869610044e-001
+5.38300000000e+001, +2.86894762744e-001, +4.11135645387e+000, +6.08146355609e-005, +2.86156465469e-001
+5.41660000000e+001, +2.91194158217e-001, +4.09658970220e+000, +6.11231561643e-005, +2.90450167847e-001
+5.45050000000e+001, +2.87808460246e-001, +5.30928396281e+000, +7.77640660715e-005, +2.86573680725e-001
+5.48450000000e+001, +2.89723859109e-001, +4.39620894394e+000, +6.44461279632e-005, +2.88871441181e-001
+5.51880000000e+001, +2.89634672670e-001, +4.75319013852e+000, +6.92134216642e-005, +2.88638587264e-001
+5.55330000000e+001, +2.88381931751e-001, +4.63220597092e+000, +6.67465861153e-005, +2.87439972877e-001
+5.58790000000e+001, +2.87316065408e-001, +5.09659920807e+000, +7.26969829117e-005, +2.86180115366e-001
+5.62290000000e+001, +2.86786164629e-001, +4.88278763086e+000, +6.90935267865e-005, +2.85745392270e-001
+5.65800000000e+001, +2.87737679341e-001, +4.72541507673e+000, +6.66774221052e-005, +2.86759642496e-001
+5.69330000000e+001, +2.88698829500e-001, +4.55462975634e+000, +6.40876044835e-005, +2.87787139461e-001
+5.72890000000e+001, +2.89722690191e-001, +5.19576061157e+000, +7.28890861256e-005, +2.88532249183e-001
+5.76470000000e+001, +2.88665510633e-001, +4.94143299577e+000, +6.86483459554e-005, +2.87592618033e-001
+5.80070000000e+001, +2.88800189784e-001, +4.44036057784e+000, +6.13476575758e-005, +2.87933345056e-001
+5.83690000000e+001, +2.88286052155e-001, +5.12028209443e+000, +7.01543408036e-005, +2.87135656861e-001
+5.87340000000e+001, +2.86239210434e-001, +4.43386926397e+000, +5.99634176814e-005, +2.85382561480e-001
+5.91010000000e+001, +2.91877863529e-001, +4.60904282911e+000, +6.31605756468e-005, +2.90933991367e-001
+5.94700000000e+001, +2.88540332836e-001, +4.84156293818e+000, +6.51740492659e-005, +2.87510791011e-001
+5.98410000000e+001, +2.87889093743e-001, +4.91677515462e+000, +6.56252635814e-005, +2.86829732404e-001
+6.02150000000e+001, +2.87784762689e-001, +4.99619747435e+000, +6.62444768389e-005, +2.86691318765e-001
+6.05910000000e+001, +2.93151944612e-001, +4.51122325171e+000, +6.05658288076e-005, +2.92243744007e-001
+6.09700000000e+001, +2.86752066422e-001, +4.62754508875e+000, +6.03901706518e-005, +2.85817314168e-001
+6.13510000000e+001, +2.91958563746e-001, +5.34652961671e+000, +7.05730014476e-005, +2.90688356019e-001
+6.17340000000e+001, +2.92065722262e-001, +4.92994017576e+000, +6.47081977377e-005, +2.90985232468e-001
+6.21190000000e+001, +2.89523241217e-001, +5.12008125920e+000, +6.61995682444e-005, +2.88367999535e-001
+6.25070000000e+001, +2.91499071525e-001, +5.66218662876e+000, +7.32289946780e-005, +2.90076818724e-001
+6.28980000000e+001, +2.89783306130e-001, +5.62951084387e+000, +7.19292777168e-005, +2.88385683212e-001
+6.32910000000e+001, +2.89841914417e-001, +5.83575937772e+000, +7.41076338674e-005, +2.88339792442e-001
+6.36860000000e+001, +2.90095152869e-001, +5.39156829417e+000, +6.81189554139e-005, +2.88811714735e-001
+6.40840000000e+001, +2.88263251858e-001, +5.70596097885e+000, +7.11783407005e-005, +2.86834974171e-001
+6.44840000000e+001, +2.88736362279e-001, +5.49408311131e+000, +6.82301749798e-005, +2.87409933698e-001
+6.48870000000e+001, +2.89543876473e-001, +6.06330729675e+000, +7.50158205963e-005, +2.87924107988e-001
+6.52920000000e+001, +2.92199421918e-001, +5.79558052346e+000, +7.19238579530e-005, +2.90705844803e-001
+6.57000000000e+001, +2.90141790034e-001, +5.21427289075e+000, +6.38758254911e-005, +2.88941122473e-001
+6.61110000000e+001, +2.89058970012e-001, +6.24494357590e+000, +7.56969720917e-005, +2.87343677315e-001
+6.65240000000e+001, +2.90130145196e-001, +6.33247133289e+000, +7.65597849562e-005, +2.88359946847e-001
+6.69390000000e+001, +2.92943444391e-001, +5.59897753898e+000, +6.79546790145e-005, +2.91545852587e-001
+6.73570000000e+001, +2.89525282778e-001, +6.12244323915e+000, +7.29624184547e-005, +2.87873901012e-001
+6.77780000000e+001, +2.91823375334e-001, +5.95164645544e+000, +7.10533649646e-005, +2.90250376065e-001
