!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Tue Sep 20 23:58:16 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+7.48790000000e+001, +2.41382172627e+001, +5.90891507163e+001, +4.40185973708e-002, +1.23998920588e+001
+7.53460000000e+001, +2.42545235017e+001, +5.91838267472e+001, +4.39999783654e-002, +1.24252360587e+001
+7.58170000000e+001, +2.43611744013e+001, +5.92489297536e+001, +4.39486480287e-002, +1.24560911110e+001
+7.62910000000e+001, +2.44384558137e+001, +5.93639618270e+001, +4.38663933231e-002, +1.24534145088e+001
+7.67670000000e+001, +2.45202904331e+001, +5.95009293765e+001, +4.38021784894e-002, +1.24446453633e+001
+7.72470000000e+001, +2.46001296683e+001, +5.95871540855e+001, +4.37103970010e-002, +1.24532530393e+001
+7.77290000000e+001, +2.46881453117e+001, +5.96542012866e+001, +4.36246824959e-002, +1.24728857136e+001
+7.82150000000e+001, +2.47987349793e+001, +5.96983860790e+001, +4.35674625774e-002, +1.25122499411e+001
+7.87030000000e+001, +2.48902441383e+001, +5.97234060231e+001, +4.34681774525e-002, +1.25490357057e+001
+7.91950000000e+001, +2.49688340503e+001, +5.99008029286e+001, +4.34126487677e-002, +1.25218356469e+001
+7.96900000000e+001, +2.50630219250e+001, +5.99493398788e+001, +4.33269824578e-002, +1.25506975057e+001
+8.01870000000e+001, +2.51517267591e+001, +6.00872301647e+001, +4.32708745989e-002, +1.25426866816e+001
+8.06880000000e+001, +2.52347192728e+001, +6.01968253721e+001, +4.31914946286e-002, +1.25422116811e+001
+8.11920000000e+001, +2.53453134824e+001, +6.02186550803e+001, +4.31209050413e-002, +1.25887991535e+001
+8.17000000000e+001, +2.54248276289e+001, +6.03170659342e+001, +4.30294141167e-002, +1.25903725749e+001
+8.22100000000e+001, +2.55202420124e+001, +6.04171960722e+001, +4.29656459630e-002, +1.25988556493e+001
+8.27230000000e+001, +2.55991613231e+001, +6.04834562806e+001, +4.28593319482e-002, +1.26120629175e+001
+8.32400000000e+001, +2.57288391714e+001, +6.04648040982e+001, +4.28010066034e-002, +1.26832400092e+001
+8.37600000000e+001, +2.57767028821e+001, +6.06149310533e+001, +4.26775354541e-002, +1.26480275606e+001
+8.42830000000e+001, +2.58775968821e+001, +6.07047980124e+001, +4.26162744271e-002, +1.26621519726e+001
+8.48100000000e+001, +2.59681263315e+001, +6.07805117863e+001, +4.25310957052e-002, +1.26765107249e+001
+8.53400000000e+001, +2.60777578958e+001, +6.07374972797e+001, +4.24275646128e-002, +1.27471110931e+001
+8.58730000000e+001, +2.61792817159e+001, +6.07536656059e+001, +4.23350649151e-002, +1.27902917907e+001
+8.64090000000e+001, +2.62790289788e+001, +6.07750974149e+001, +4.22416035732e-002, +1.28304471713e+001
+8.69490000000e+001, +2.63454846058e+001, +6.07631756856e+001, +4.20805196735e-002, +1.28676771399e+001
+8.74920000000e+001, +2.64336394338e+001, +6.06343907031e+001, +4.19063930045e-002, +1.29625475522e+001
+8.80380000000e+001, +2.65367987816e+001, +6.05987076554e+001, +4.17943645814e-002, +1.30275355971e+001
+8.85880000000e+001, +2.66521007647e+001, +6.05443392752e+001, +4.16930276474e-002, +1.31061671861e+001
+8.91420000000e+001, +2.66487213474e+001, +6.06595581195e+001, +4.14756261298e-002, +1.30578168218e+001
+8.96990000000e+001, +2.68549530254e+001, +6.17039487079e+001, +4.19557251859e-002, +1.27299869763e+001
+9.02590000000e+001, +2.69482604379e+001, +6.18048321907e+001, +4.18798828973e-002, +1.27324180518e+001
