!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 21 01:14:12 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+8.17000000000e+001, +3.08131944117e+001, +7.85947426412e+001, +5.88400447378e-002, +6.09322561371e+000
+8.22100000000e+001, +3.09277894751e+001, +7.87199536731e+001, +5.87182277923e-002, +6.04961869825e+000
+8.27230000000e+001, +3.11140654650e+001, +7.87339979104e+001, +5.87084225950e-002, +6.07857566237e+000
+8.32400000000e+001, +3.12549871480e+001, +7.87998503940e+001, +5.86214172886e-002, +6.07087220726e+000
+8.37600000000e+001, +3.14153968614e+001, +7.88495682233e+001, +5.85665164847e-002, +6.07528619374e+000
+8.42830000000e+001, +3.15791472413e+001, +7.89153082125e+001, +5.85196668779e-002, +6.07139987433e+000
+8.48100000000e+001, +3.17297581102e+001, +7.89647432972e+001, +5.84432521001e-002, +6.07348816156e+000
+8.53400000000e+001, +3.18874601242e+001, +7.90240978878e+001, +5.83807222533e-002, +6.07124863343e+000
+8.58730000000e+001, +3.20417070896e+001, +7.90791968451e+001, +5.83098568271e-002, +6.07036432428e+000
+8.64090000000e+001, +3.21949575624e+001, +7.91574305754e+001, +5.82405999127e-002, +6.05622821382e+000
+8.69490000000e+001, +3.23643297988e+001, +7.92119789702e+001, +5.81939687454e-002, +6.05782389365e+000
+8.74920000000e+001, +3.25386397849e+001, +7.92203932899e+001, +5.81459067823e-002, +6.08575637177e+000
+8.80380000000e+001, +3.27005223718e+001, +7.92632390168e+001, +5.80810323265e-002, +6.09200992550e+000
+8.85880000000e+001, +3.28926360091e+001, +7.92735375269e+001, +5.80615173268e-002, +6.12199130935e+000
+8.91420000000e+001, +3.31152800772e+001, +7.93186194755e+001, +5.80998819126e-002, +6.13782724689e+000
+8.96990000000e+001, +3.31579066070e+001, +7.96234115862e+001, +5.78706138930e-002, +5.97231041597e+000
+9.02590000000e+001, +3.33208360652e+001, +7.97377045594e+001, +5.78151558871e-002, +5.93626396929e+000
